划分,序列,原序列总帧数,合成后读取记录总数,异常物体,异常帧号范围,异常点数中位数,插入正常物体,插入正常帧号范围,插入正常点数中位数
训练,scene-0676,40,40,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 摩托车 [fdd3e854],无,无
训练,scene-0677,41,41,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 摩托车 [a73d7a70],无,无
训练,scene-0678,41,41,未放置; 预分配 软质袋或袋组 [#22],无,无,未放置; 预分配 摩托车 [d0cc6cb7],无,无
训练,scene-0679,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 自行车 [91af0328],无,无
训练,scene-0681,40,80,开口塑料垃圾桶 [#53],0-39,32,未放置; 预分配 自行车 [9d8131e4],无,无
训练,scene-0683,40,62,软质袋或袋组 [#20],34; 36-39,5,成年行人 [8f8925fa],31; 33-39,4
训练,scene-0684,41,56,未放置; 预分配 软质袋或袋组 [#26],无,无,摩托车 [c5d913c8],0-9; 11,7
训练,scene-0685,41,41,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 摩托车 [9edcbec8],无,无
训练,scene-0686,41,41,未放置; 预分配 软质袋或袋组 [#28],无,无,未放置; 预分配 汽车 [ec23c028],无,无
训练,scene-0687,41,41,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 自行车 [dc36c47c],无,无
训练,scene-0688,41,41,未放置; 预分配 开口塑料垃圾桶 [#54],无,无,未放置; 预分配 汽车 [d3fdc84e],无,无
训练,scene-0689,40,40,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 汽车 [9295209d],无,无
训练,scene-0695,40,53,罩顶垃圾桶 [#37],0-1,100,成年行人 [ec4d4028],0-6; 8,5
训练,scene-0696,40,40,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 自行车 [2ba7d7ee],无,无
训练,scene-0697,40,84,料斗式搬运车 [#58],0-20,35,成年行人 [b06d8cac],0-14; 19-20,5
训练,scene-0698,41,58,平盖带轮垃圾桶 [#39],21; 23-34; 37-39,33,未放置; 预分配 汽车 [31bdd981],无,无
训练,scene-0700,40,67,开口塑料垃圾桶 [#54],5-6; 10; 20-21; 24; 26-27; 30-34; 37-38,4,未放置; 预分配 自行车 [01f707a8],无,无
训练,scene-0701,41,41,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [6153998d],无,无
训练,scene-0703,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 汽车 [df89812f],无,无
训练,scene-0704,40,40,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 成年行人 [d3eceacb],无,无
训练,scene-0705,40,120,开口塑料垃圾桶 [#53],0-39,17,自行车 [91c7df9a],0-39,3
训练,scene-0706,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 成年行人 [fa444ea3],无,无
训练,scene-0707,40,46,软质袋或袋组 [#28],24; 26-28,1.5,未放置; 预分配 自行车 [a76f1064],无,无
训练,scene-0708,40,49,带脚轮金属工具箱 [#55],0-6; 8,13.5,未放置; 预分配 自行车 [daf5f4c2],无,无
训练,scene-0709,41,41,未放置; 预分配 软质袋或袋组 [#21],无,无,未放置; 预分配 自行车 [36fa14fe],无,无
训练,scene-0710,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 自行车 [08caa9e5],无,无
训练,scene-0711,41,41,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 自行车 [8b42de0f],无,无
训练,scene-0712,40,49,软质袋或袋组 [#19],32-39,5,未放置; 预分配 自行车 [7de03ece],无,无
训练,scene-0713,40,40,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 汽车 [5c9e71be],无,无
训练,scene-0714,41,123,街旁小型垃圾桶 [#45],0-40,24,自行车 [03e3fc34],0-40,38
训练,scene-0715,40,120,软质袋或袋组 [#23],0-39,8,成年行人 [e3680485],0-39,9
训练,scene-0716,40,40,未放置; 预分配 软质袋或袋组 [#22],无,无,未放置; 预分配 汽车 [cb6d7176],无,无
训练,scene-0717,40,40,未放置; 预分配 罩顶垃圾桶 [#38],无,无,未放置; 预分配 自行车 [49970654],无,无
训练,scene-0718,40,80,平盖带轮垃圾桶 [#40],0-39,125,未放置; 预分配 摩托车 [a44e3f16],无,无
训练,scene-0719,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 自行车 [eae8de11],无,无
训练,scene-0726,40,80,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,自行车 [8967165a],1-39,13
训练,scene-0727,40,120,软质袋或袋组 [#22],0-39,5,摩托车 [1b7204a9],0-39,16
训练,scene-0728,40,117,平盖带轮垃圾桶 [#40],0-36,282,自行车 [372104b0],0-39,6
训练,scene-0730,40,43,软质袋或袋组 [#23],0-2,1,未放置; 预分配 汽车 [7bbbe624],无,无
训练,scene-0731,41,67,未放置; 预分配 大型垃圾箱 [#31],无,无,自行车 [656b87fc],15-40,5.5
训练,scene-0733,40,120,软质袋或袋组 [#21],0-39,22,自行车 [253eeaed],0-39,39
训练,scene-0734,40,120,平盖带轮垃圾桶 [#41],0-39,52,自行车 [6a6beadb],0-39,5
训练,scene-0735,40,49,罩顶垃圾桶 [#38],0-6; 9,17,未放置; 预分配 摩托车 [3f20986e],无,无
训练,scene-0736,41,46,软质袋或袋组 [#28],0-3,1,未放置; 预分配 自行车 [1609860c],无,无
训练,scene-0737,40,52,未放置; 预分配 两轮手扶搬运车 [#56],无,无,自行车 [336326d2],0-8; 11-12,4
训练,scene-0738,41,48,料斗式搬运车 [#58],0-6,19,未放置; 预分配 成年行人 [c0db8f4a],无,无
训练,scene-0739,41,41,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 汽车 [eded0c5f],无,无
训练,scene-0740,41,41,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 自行车 [b399ba0a],无,无
训练,scene-0741,41,67,罩顶垃圾桶 [#37],30; 35-40,8,摩托车 [124b22a3],29-32; 34-40,6
训练,scene-0744,40,50,带脚轮金属工具箱 [#55],0-9,7,未放置; 预分配 成年行人 [c8ff5cb5],无,无
训练,scene-0746,41,47,软质袋或袋组 [#20],6; 9-11,10.5,未放置; 预分配 摩托车 [b2c149e6],无,无
训练,scene-0747,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 摩托车 [762fb475],无,无
训练,scene-0749,41,41,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 摩托车 [e584eb12],无,无
训练,scene-0750,41,81,开口塑料垃圾桶 [#54],0-39,26.5,未放置; 预分配 自行车 [ef00513b],无,无
训练,scene-0751,41,41,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 汽车 [4649b29c],无,无
训练,scene-0752,41,41,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 汽车 [42f44ec8],无,无
训练,scene-0757,41,41,未放置; 预分配 开口塑料垃圾桶 [#53],无,无,未放置; 预分配 成年行人 [03da828f],无,无
训练,scene-0758,40,120,软质袋或袋组 [#19],0-39,40,摩托车 [1f123d2f],0-39,20
训练,scene-0759,40,120,街旁小型垃圾桶 [#45],0-39,28,汽车 [6db8854c],0-39,66
训练,scene-0760,41,41,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 摩托车 [0efd1b1f],无,无
训练,scene-0761,41,41,未放置; 预分配 罩顶垃圾桶 [#37],无,无,未放置; 预分配 自行车 [d41bf164],无,无
训练,scene-0762,40,60,未放置; 预分配 软质袋或袋组 [#27],无,无,成年行人 [7a61869c],20-21; 26-37,5.5
训练,scene-0763,41,46,料斗式搬运车 [#58],0-4,8,未放置; 预分配 汽车 [90105d3d],无,无
训练,scene-0764,40,46,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,自行车 [a0816e8e],35-39,2
训练,scene-0765,41,123,罩顶垃圾桶 [#38],0-40,91,成年行人 [dfe53348],0-40,80
训练,scene-0767,40,58,软质袋或袋组 [#22],0-5,1,摩托车 [a9ef6f8b],0-5; 7-8,5.5
训练,scene-0768,41,46,未放置; 预分配 软质袋或袋组 [#26],无,无,成年行人 [45d2d6b1],0-4,121
训练,scene-0769,41,41,未放置; 预分配 软质袋或袋组 [#19],无,无,未放置; 预分配 汽车 [47ce853d],无,无
训练,scene-0786,40,40,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 汽车 [df018370],无,无
训练,scene-0787,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 成年行人 [afce5fc3],无,无
训练,scene-0789,40,120,开口塑料垃圾桶 [#53],0-39,26,成年行人 [9f230b87],0-39,9
训练,scene-0790,40,40,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 汽车 [247eec57],无,无
训练,scene-0791,40,43,开口塑料垃圾桶 [#54],0-2,18,未放置; 预分配 自行车 [a3bb10ee],无,无
训练,scene-0792,40,46,带脚轮金属工具箱 [#55],5-7,37,未放置; 预分配 汽车 [b0164c85],无,无
训练,scene-0803,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 汽车 [75bff6a6],无,无
训练,scene-0804,41,41,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 成年行人 [142e7a14],无,无
训练,scene-0805,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 成年行人 [bd42d669],无,无
训练,scene-0806,41,82,软质袋或袋组 [#28],0; 4-5; 9-40,1,未放置; 预分配 成年行人 [ae82ec5d],无,无
训练,scene-0808,40,40,未放置; 预分配 软质袋或袋组 [#23],无,无,未放置; 预分配 摩托车 [e2b5ba90],无,无
训练,scene-0809,40,40,未放置; 预分配 软质袋或袋组 [#21],无,无,未放置; 预分配 自行车 [8a956117],无,无
训练,scene-0810,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 成年行人 [013b83c5],无,无
训练,scene-0811,40,115,罩顶垃圾桶 [#38],0-37,3,自行车 [32b4cf32],0-36,21
训练,scene-0812,41,76,罩顶垃圾桶 [#37],0-11; 14-15,16.5,成年行人 [344bf54d],0-12; 15,8.5
训练,scene-0813,40,80,街旁小型垃圾桶 [#45],0-39,11,未放置; 预分配 汽车 [acbf49b3],无,无
训练,scene-0815,40,64,未放置; 预分配 大型垃圾箱 [#32],无,无,摩托车 [45cf3696],5; 7; 10; 13-20; 22-23; 27,8
训练,scene-0816,41,74,开口塑料垃圾桶 [#54],0-11; 15-22,4,成年行人 [c4eaf6a7],0-2; 14,1
训练,scene-0817,40,53,未放置; 预分配 大型垃圾箱 [#31],无,无,摩托车 [cbd1e48f],0-4,26
训练,scene-0819,41,49,软质袋或袋组 [#22],0-7,3.5,未放置; 预分配 成年行人 [56c24f68],无,无
训练,scene-0820,40,63,软质袋或袋组 [#28],0-2,2,汽车 [cbb53cd2],0-9,27.5
训练,scene-0821,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 摩托车 [746123a9],无,无
训练,scene-0822,40,51,软质袋或袋组 [#23],0-1,6.5,成年行人 [c453070a],0-4,4
训练,scene-0847,40,57,软质袋或袋组 [#20],14-20,9,汽车 [46c8b511],33-39,20
训练,scene-0848,41,42,软质袋或袋组 [#19],0,39,未放置; 预分配 摩托车 [6119abe8],无,无
训练,scene-0849,40,45,平盖带轮垃圾桶 [#41],36-39,19.5,未放置; 预分配 自行车 [b9cdbe71],无,无
训练,scene-0850,41,46,带脚轮金属工具箱 [#55],0-1; 4-5,26.5,未放置; 预分配 成年行人 [1e579651],无,无
训练,scene-0851,40,40,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 汽车 [425d072e],无,无
训练,scene-0852,41,61,开口塑料垃圾桶 [#53],0-4; 9,5.5,成年行人 [371f8908],0-9,3
训练,scene-0853,41,41,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 汽车 [33f4abf6],无,无
训练,scene-0854,40,40,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 摩托车 [399b5e79],无,无
训练,scene-0855,41,53,软质袋或袋组 [#21],0-1; 4-5,3.5,未放置; 预分配 成年行人 [09cb7a45],无,无
训练,scene-0856,41,61,料斗式搬运车 [#58],28; 31-32; 35-40,7,成年行人 [f81722a6],30; 34; 36-40,3
训练,scene-0858,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 自行车 [8dfb1e75],无,无
训练,scene-0860,41,41,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 自行车 [5f4e48e9],无,无
训练,scene-0861,41,41,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 成年行人 [c910dda7],无,无
训练,scene-0862,40,40,未放置; 预分配 软质袋或袋组 [#23],无,无,未放置; 预分配 摩托车 [4f404a37],无,无
训练,scene-0863,41,41,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 自行车 [c4dfa672],无,无
训练,scene-0864,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 自行车 [12c1f51f],无,无
训练,scene-0865,41,41,未放置; 预分配 软质袋或袋组 [#19],无,无,未放置; 预分配 自行车 [8f853bb1],无,无
训练,scene-0866,41,53,料斗式搬运车 [#58],23-34,12,未放置; 预分配 摩托车 [c11ddb7a],无,无
训练,scene-0868,41,41,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 汽车 [c83f0d76],无,无
训练,scene-0869,41,55,平盖带轮垃圾桶 [#40],19; 21-26; 28; 30; 32; 36,10,未放置; 预分配 成年行人 [deb5aaf4],无,无
训练,scene-0870,40,80,软质袋或袋组 [#28],0-1,1,未放置; 预分配 自行车 [298a6dc1],无,无
训练,scene-0871,41,69,街旁小型垃圾桶 [#45],0-26,15,未放置; 预分配 摩托车 [b2710614],无,无
训练,scene-0872,41,52,未放置; 预分配 软质袋或袋组 [#25],无,无,自行车 [5feee637],16; 22-26,4.5
训练,scene-0873,40,80,带脚轮金属工具箱 [#55],0-39,189,未放置; 预分配 汽车 [c26fc37f],无,无
训练,scene-0875,40,80,开口塑料垃圾桶 [#54],0-39,32,未放置; 预分配 汽车 [daebe5b5],无,无
训练,scene-0876,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 摩托车 [d1c61ff8],无,无
训练,scene-0877,39,47,未放置; 预分配 软质袋或袋组 [#27],无,无,自行车 [8acb13a2],0-5; 7,2
训练,scene-0878,40,85,罩顶垃圾桶 [#38],1-5,6,汽车 [c5f26ddf],0-39,212.5
训练,scene-0880,41,80,平盖带轮垃圾桶 [#41],17-18; 20-24; 27,16.5,成年行人 [74a0a8ac],19-24; 26-27; 29-31; 34,5.5
训练,scene-0882,40,104,软质袋或袋组 [#21],0-26,4,摩托车 [6b2f90e4],0-27; 29-30,12.5
训练,scene-0883,41,46,软质袋或袋组 [#20],9-12,25,未放置; 预分配 自行车 [3a291308],无,无
训练,scene-0884,40,80,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,成年行人 [1d2e4b98],0-39,34.5
训练,scene-0885,40,79,软质袋或袋组 [#22],0-9; 11,6,成年行人 [e8361fed],0-13; 15,6
训练,scene-0886,41,64,未放置; 预分配 软质袋或袋组 [#26],无,无,成年行人 [29f6d84e],17; 23-40,57
训练,scene-0887,40,120,罩顶垃圾桶 [#37],0-39,120,成年行人 [3f647d1a],0-39,6
训练,scene-0888,40,57,开口塑料垃圾桶 [#53],29; 33,4.5,摩托车 [3f4035ef],28; 31-39,6
训练,scene-0889,40,49,带脚轮金属工具箱 [#55],0-7,8.5,未放置; 预分配 摩托车 [31ddb639],无,无
训练,scene-0890,40,56,软质袋或袋组 [#19],0-15,4.5,未放置; 预分配 汽车 [62fa061e],无,无
训练,scene-0891,40,62,软质袋或袋组 [#23],0-1; 4-5,4,成年行人 [69123cbc],30; 37; 39,1
训练,scene-0892,40,53,未放置; 预分配 软质袋或袋组 [#26],无,无,成年行人 [fe199544],17-18; 22; 26; 30,2
训练,scene-0893,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 成年行人 [ebd5750f],无,无
训练,scene-0894,40,42,软质袋或袋组 [#22],4-5,7,未放置; 预分配 摩托车 [10628212],无,无
训练,scene-0895,41,59,平盖带轮垃圾桶 [#41],2-5,9,摩托车 [57d049b9],11-17; 22,1.5
训练,scene-0896,40,45,开口塑料垃圾桶 [#54],24; 33-34; 36,10,未放置; 预分配 摩托车 [4552905b],无,无
训练,scene-0897,40,40,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 成年行人 [df90ba84],无,无
训练,scene-0898,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 汽车 [cb7823b1],无,无
训练,scene-0899,40,80,软质袋或袋组 [#21],26-28,12,成年行人 [36e7a4a6],11-15; 20-27; 29; 31,3
训练,scene-0900,40,40,未放置; 预分配 开口塑料垃圾桶 [#53],无,无,未放置; 预分配 摩托车 [2e1665da],无,无
训练,scene-0901,41,51,料斗式搬运车 [#58],24-25; 28; 32,7.5,未放置; 预分配 自行车 [f0af9c2d],无,无
训练,scene-0902,40,63,软质袋或袋组 [#28],3-6,3,成年行人 [2d6ea8b1],0-13,17.5
训练,scene-0903,40,80,罩顶垃圾桶 [#37],0-39,120,未放置; 预分配 汽车 [209d5f37],无,无
训练,scene-0945,41,41,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 自行车 [5b444647],无,无
训练,scene-0947,40,76,未放置; 预分配 罩顶垃圾桶 [#38],无,无,自行车 [ccc00072],0-19; 21; 29-31,3
训练,scene-0949,40,76,街旁小型垃圾桶 [#45],5-39,20,未放置; 预分配 成年行人 [7ab3b9dd],无,无
训练,scene-0952,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 摩托车 [07c804bd],无,无
训练,scene-0953,40,63,未放置; 预分配 软质袋或袋组 [#27],无,无,摩托车 [e86f355a],0-10; 12; 14-15,2.5
训练,scene-0955,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 成年行人 [6a4481fa],无,无
训练,scene-0956,40,40,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 摩托车 [20f0a30b],无,无
训练,scene-0957,41,82,未放置; 预分配 软质袋或袋组 [#25],无,无,摩托车 [3ac2accd],0-40,126
训练,scene-0958,40,40,未放置; 预分配 开口塑料垃圾桶 [#54],无,无,未放置; 预分配 成年行人 [8bb5895d],无,无
训练,scene-0959,41,41,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 自行车 [625fa60b],无,无
训练,scene-0960,40,40,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 自行车 [a5f6e663],无,无
训练,scene-0961,41,41,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 自行车 [f712d795],无,无
训练,scene-0975,41,123,带脚轮金属工具箱 [#55],0-40,62,汽车 [48d25560],0-40,243
训练,scene-0976,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 自行车 [381c00d8],无,无
训练,scene-0977,40,80,罩顶垃圾桶 [#38],0-39,58,未放置; 预分配 摩托车 [70fd7ae5],无,无
训练,scene-0978,41,81,平盖带轮垃圾桶 [#41],0-39,77,未放置; 预分配 摩托车 [507a362b],无,无
训练,scene-0979,40,55,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,成年行人 [dcd1704e],28-39,5.5
训练,scene-0980,41,41,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 成年行人 [c1a2e44e],无,无
训练,scene-0981,41,78,软质袋或袋组 [#21],0-5; 10-40,5,未放置; 预分配 汽车 [d2d280fc],无,无
训练,scene-0982,41,117,开口塑料垃圾桶 [#53],0-35; 37-40,30,成年行人 [92b722d2],0-34,48
训练,scene-0983,40,74,罩顶垃圾桶 [#37],0-9; 12-14,6,摩托车 [57d049b9],0-7; 10-11,12.5
训练,scene-0984,40,54,未放置; 预分配 软质袋或袋组 [#25],无,无,成年行人 [8bb5895d],0-7; 9,8
训练,scene-0988,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 成年行人 [bc67b906],无,无
训练,scene-0989,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 摩托车 [ae5f16e3],无,无
训练,scene-0990,41,51,软质袋或袋组 [#22],11-15; 17-18; 24-25,3,未放置; 预分配 汽车 [961430cb],无,无
训练,scene-0991,41,65,软质袋或袋组 [#19],0-9,4.5,摩托车 [a9ef6f8b],0; 3-12,6
训练,scene-0992,41,41,未放置; 预分配 软质袋或袋组 [#23],无,无,未放置; 预分配 摩托车 [c11ddb7a],无,无
训练,scene-0994,40,40,未放置; 预分配 料斗式搬运车 [#58],无,无,未放置; 预分配 摩托车 [5de068e9],无,无
训练,scene-0995,40,40,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 自行车 [5f4e48e9],无,无
训练,scene-0996,40,49,街旁小型垃圾桶 [#45],0-8,6,未放置; 预分配 自行车 [92e4fcad],无,无
训练,scene-0997,41,48,软质袋或袋组 [#28],31-34,1.5,未放置; 预分配 自行车 [dc36c47c],无,无
训练,scene-0998,40,40,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 自行车 [336326d2],无,无
训练,scene-0999,40,40,未放置; 预分配 开口塑料垃圾桶 [#54],无,无,未放置; 预分配 摩托车 [cbd1e48f],无,无
训练,scene-1000,41,45,软质袋或袋组 [#23],38-40,3,未放置; 预分配 成年行人 [9f230b87],无,无
训练,scene-1001,41,41,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 摩托车 [dd6f7436],无,无
训练,scene-1002,40,50,未放置; 预分配 软质袋或袋组 [#27],无,无,成年行人 [df90ba84],30; 33-39,10
训练,scene-1003,41,41,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 汽车 [31bdd981],无,无
训练,scene-1004,41,41,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 成年行人 [29f6d84e],无,无
训练,scene-1005,40,58,平盖带轮垃圾桶 [#39],17-33; 37,16.5,未放置; 预分配 自行车 [5b444647],无,无
训练,scene-1006,41,41,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 自行车 [7de03ece],无,无
训练,scene-1007,40,40,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 摩托车 [1f123d2f],无,无
训练,scene-1008,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 摩托车 [72d30e12],无,无
训练,scene-1009,41,41,未放置; 预分配 罩顶垃圾桶 [#37],无,无,未放置; 预分配 摩托车 [d11226b6],无,无
训练,scene-1010,40,44,软质袋或袋组 [#19],36; 38-39,3,未放置; 预分配 汽车 [cb7823b1],无,无
训练,scene-1011,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 成年行人 [45d2d6b1],无,无
训练,scene-1012,40,49,带脚轮金属工具箱 [#55],0-7,14,未放置; 预分配 摩托车 [762fb475],无,无
训练,scene-1013,40,57,软质袋或袋组 [#22],39,6,摩托车 [7d803f98],0-10,4
训练,scene-1014,41,41,未放置; 预分配 软质袋或袋组 [#21],无,无,未放置; 预分配 汽车 [fec7c670],无,无
训练,scene-1015,40,60,平盖带轮垃圾桶 [#40],20; 22; 26; 29-39,19,未放置; 预分配 汽车 [eded0c5f],无,无
训练,scene-1016,40,40,未放置; 预分配 罩顶垃圾桶 [#38],无,无,未放置; 预分配 自行车 [8acb13a2],无,无
训练,scene-1017,40,40,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 自行车 [f0af9c2d],无,无
训练,scene-1018,41,49,软质袋或袋组 [#28],4-7,1.5,未放置; 预分配 汽车 [33f4abf6],无,无
训练,scene-1019,40,40,未放置; 预分配 料斗式搬运车 [#58],无,无,未放置; 预分配 自行车 [7026212e],无,无
训练,scene-1020,40,40,未放置; 预分配 开口塑料垃圾桶 [#53],无,无,未放置; 预分配 摩托车 [3ac2accd],无,无
训练,scene-1021,40,40,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 成年行人 [c8ff5cb5],无,无
训练,scene-1022,40,40,未放置; 预分配 罩顶垃圾桶 [#37],无,无,未放置; 预分配 自行车 [8a956117],无,无
训练,scene-1023,40,40,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 自行车 [8f853bb1],无,无
训练,scene-1024,40,40,未放置; 预分配 罩顶垃圾桶 [#38],无,无,未放置; 预分配 自行车 [91af0328],无,无
训练,scene-1025,40,40,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 汽车 [62fa061e],无,无
训练,scene-1044,41,41,未放置; 预分配 软质袋或袋组 [#23],无,无,未放置; 预分配 成年行人 [371f8908],无,无
训练,scene-1045,41,82,未放置; 预分配 软质袋或袋组 [#25],无,无,摩托车 [07c804bd],0-40,63
训练,scene-1046,40,120,开口塑料垃圾桶 [#53],0-39,32,摩托车 [3f4035ef],0-39,33
训练,scene-1047,41,82,软质袋或袋组 [#22],0-40,3,未放置; 预分配 汽车 [42f44ec8],无,无
训练,scene-1048,40,47,软质袋或袋组 [#21],20-25,6.5,未放置; 预分配 自行车 [ccc00072],无,无
训练,scene-1049,40,40,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 自行车 [372104b0],无,无
训练,scene-1050,40,44,料斗式搬运车 [#58],39,40,未放置; 预分配 自行车 [298a6dc1],无,无
训练,scene-1051,40,48,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,自行车 [253eeaed],32-34,20
训练,scene-1052,40,55,软质袋或袋组 [#28],0-1; 3,1,成年行人 [7a61869c],0-5,6.5
训练,scene-1053,41,46,软质袋或袋组 [#20],0,31,摩托车 [61c60295],0-2,13
训练,scene-1054,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 自行车 [2ba7d7ee],无,无
训练,scene-1055,41,61,未放置; 预分配 软质袋或袋组 [#26],无,无,摩托车 [e9bcfbaa],0-12,4
训练,scene-1056,40,40,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 摩托车 [3f20986e],无,无
训练,scene-1057,41,47,软质袋或袋组 [#19],37-40,6.5,未放置; 预分配 成年行人 [ebd5750f],无,无
训练,scene-1058,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 自行车 [daf5f4c2],无,无
训练,scene-1074,40,45,平盖带轮垃圾桶 [#41],0-2,32,未放置; 预分配 自行车 [eae8de11],无,无
训练,scene-1075,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 汽车 [c83f0d76],无,无
训练,scene-1076,41,45,开口塑料垃圾桶 [#54],0-3,5,未放置; 预分配 摩托车 [1b7204a9],无,无
训练,scene-1077,41,51,平盖带轮垃圾桶 [#39],0-7,13,未放置; 预分配 自行车 [ef00513b],无,无
训练,scene-1078,40,42,软质袋或袋组 [#28],0-1,1.5,未放置; 预分配 自行车 [9d8131e4],无,无
训练,scene-1079,40,49,开口塑料垃圾桶 [#54],16-22,8,未放置; 预分配 成年行人 [c1a2e44e],无,无
训练,scene-1080,40,65,软质袋或袋组 [#22],0-9,12.5,成年行人 [36e7a4a6],0-12,14
训练,scene-1081,40,40,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 成年行人 [013b83c5],无,无
